src_ip,window_start,risk_score,severity,signature_score,signature_hits,isolation_score,ewma_score,ewma_top_deviation,rf_predicted_type,rf_confidence,true_attack_type
10.0.0.37,2026-08-10 03:06:00,0.451,MEDIUM,0.0,[],0.714,0.289,unique_dst_ports (z=4.2),c2_beacon,0.832,c2_beacon
185.220.12.30,2026-08-10 00:44:00,0.449,MEDIUM,0.0,[],0.704,0.226,total_bytes_sent (z=-2.3),c2_beacon,0.653,brute_force
10.0.0.28,2026-08-10 02:50:00,0.4314,MEDIUM,0.0,[],0.657,0.309,interval_cv (z=-8.0),c2_beacon,0.794,c2_beacon
185.220.23.140,2026-08-10 04:58:00,0.419,MEDIUM,0.0,[],0.793,0.142,flow_count (z=0.0),brute_force,0.58,brute_force
10.0.0.37,2026-08-10 03:00:00,0.4105,MEDIUM,0.0,[],0.638,0.268,interval_cv (z=-8.0),c2_beacon,0.764,c2_beacon
10.0.0.4,2026-08-10 03:19:00,0.407,MEDIUM,0.0,[],0.632,0.536,unique_dst_ports (z=8.0),c2_beacon,0.578,none
10.0.0.28,2026-08-10 02:54:00,0.4023,MEDIUM,0.0,[],0.707,0.325,unique_dst_ports (z=4.8),c2_beacon,0.65,c2_beacon
10.0.0.37,2026-08-10 03:03:00,0.4011,MEDIUM,0.0,[],0.359,0.203,unique_dst_ports (z=-1.3),c2_beacon,0.963,c2_beacon
10.0.0.37,2026-08-10 03:07:00,0.4004,MEDIUM,0.0,[],0.356,0.192,total_bytes_sent (z=-1.0),c2_beacon,0.969,c2_beacon
10.0.0.37,2026-08-10 03:05:00,0.4,MEDIUM,0.0,[],0.355,0.182,total_bytes_sent (z=-0.8),c2_beacon,0.975,c2_beacon
10.0.0.37,2026-08-10 03:01:00,0.3918,MEDIUM,0.0,[],0.6,0.198,total_bytes_sent (z=-1.6),c2_beacon,0.774,c2_beacon
10.0.0.37,2026-08-10 03:08:00,0.3844,MEDIUM,0.0,[],0.344,0.18,port_entropy (z=-0.8),c2_beacon,0.932,c2_beacon
10.0.0.37,2026-08-10 03:02:00,0.3823,MEDIUM,0.0,[],0.353,0.22,unique_dst_ports (z=-1.7),c2_beacon,0.892,c2_beacon
10.0.0.37,2026-08-10 03:11:00,0.382,MEDIUM,0.0,[],0.35,0.183,port_entropy (z=-0.8),c2_beacon,0.918,c2_beacon
10.0.0.37,2026-08-10 03:10:00,0.3794,MEDIUM,0.0,[],0.354,0.191,port_entropy (z=-0.9),c2_beacon,0.902,c2_beacon
10.0.0.37,2026-08-10 02:59:00,0.3778,MEDIUM,0.0,[],0.607,0.258,flow_count (z=5.9),c2_beacon,0.649,c2_beacon
10.0.0.28,2026-08-10 03:10:00,0.3651,MEDIUM,0.0,[],0.317,0.517,port_entropy (z=7.4),c2_beacon,0.661,c2_beacon
10.0.0.28,2026-08-10 02:55:00,0.36,MEDIUM,0.0,[],0.124,0.193,avg_packet_size (z=-1.2),c2_beacon,0.989,c2_beacon
10.0.0.28,2026-08-10 02:53:00,0.3566,MEDIUM,0.0,[],0.12,0.184,total_bytes_recv (z=-1.0),c2_beacon,0.986,c2_beacon
10.0.0.28,2026-08-10 03:07:00,0.3532,MEDIUM,0.0,[],0.125,0.152,avg_packet_size (z=-0.5),c2_beacon,0.992,c2_beacon
10.0.0.28,2026-08-10 02:59:00,0.3512,MEDIUM,0.0,[],0.127,0.166,total_bytes_recv (z=-0.6),c2_beacon,0.976,c2_beacon
10.0.0.28,2026-08-10 03:15:00,0.3509,MEDIUM,0.0,[],0.128,0.167,avg_duration (z=-0.6),c2_beacon,0.973,c2_beacon
10.0.0.28,2026-08-10 03:09:00,0.3505,MEDIUM,0.0,[],0.127,0.152,total_bytes_sent (z=-0.3),c2_beacon,0.982,c2_beacon
10.0.0.28,2026-08-10 03:12:00,0.3487,LOW,0.0,[],0.118,0.186,avg_duration (z=-0.9),c2_beacon,0.959,c2_beacon
10.0.0.28,2026-08-10 03:16:00,0.3472,LOW,0.0,[],0.131,0.167,avg_packet_size (z=-0.8),c2_beacon,0.959,c2_beacon
10.0.0.28,2026-08-10 02:52:00,0.3465,LOW,0.0,[],0.124,0.195,total_bytes_sent (z=-1.4),c2_beacon,0.942,c2_beacon
10.0.0.37,2026-08-10 03:12:00,0.3437,LOW,0.0,[],0.359,0.18,avg_packet_size (z=-0.8),c2_beacon,0.786,c2_beacon
10.0.0.37,2026-08-10 03:04:00,0.3417,LOW,0.0,[],0.352,0.189,unique_dst_ports (z=-1.0),c2_beacon,0.778,c2_beacon
10.0.0.28,2026-08-10 02:57:00,0.3411,LOW,0.0,[],0.108,0.173,total_bytes_recv (z=-0.8),c2_beacon,0.949,c2_beacon
10.0.0.28,2026-08-10 03:00:00,0.3379,LOW,0.0,[],0.133,0.168,avg_packet_size (z=-1.0),c2_beacon,0.925,c2_beacon
10.0.0.37,2026-08-10 03:09:00,0.3362,LOW,0.0,[],0.627,0.246,failed_ratio (z=8.0),c2_beacon,0.535,c2_beacon
10.0.0.28,2026-08-10 03:01:00,0.335,LOW,0.0,[],0.108,0.163,avg_packet_size (z=0.9),c2_beacon,0.936,c2_beacon
10.0.0.28,2026-08-10 03:03:00,0.3331,LOW,0.0,[],0.112,0.155,total_bytes_recv (z=-0.4),c2_beacon,0.932,c2_beacon
10.0.0.28,2026-08-10 03:05:00,0.3331,LOW,0.0,[],0.134,0.159,avg_packet_size (z=-0.9),c2_beacon,0.915,c2_beacon
10.0.0.31,2026-08-10 04:52:00,0.3316,LOW,0.0,[],0.883,0.775,flow_count (z=8.0),none,1.0,none
10.0.0.28,2026-08-10 03:13:00,0.3301,LOW,0.0,[],0.133,0.184,avg_packet_size (z=-1.3),c2_beacon,0.889,c2_beacon
10.0.0.28,2026-08-10 03:17:00,0.3263,LOW,0.0,[],0.433,0.252,port_entropy (z=3.0),c2_beacon,0.631,c2_beacon
10.0.0.28,2026-08-10 03:08:00,0.3258,LOW,0.0,[],0.127,0.153,avg_packet_size (z=0.5),c2_beacon,0.899,c2_beacon
10.0.0.28,2026-08-10 03:11:00,0.3258,LOW,0.0,[],0.328,0.279,avg_duration (z=4.1),c2_beacon,0.681,c2_beacon
10.0.0.28,2026-08-10 03:14:00,0.3232,LOW,0.0,[],0.136,0.177,avg_packet_size (z=-1.0),c2_beacon,0.869,c2_beacon
10.0.0.5,2026-08-10 04:31:00,0.323,LOW,0.0,[],0.826,0.789,flow_count (z=8.0),none,1.0,none
10.0.0.28,2026-08-10 03:04:00,0.3227,LOW,0.0,[],0.135,0.16,avg_packet_size (z=-0.8),c2_beacon,0.879,c2_beacon
10.0.0.28,2026-08-10 03:02:00,0.3226,LOW,0.0,[],0.112,0.157,total_bytes_recv (z=-0.4),c2_beacon,0.896,c2_beacon
10.0.0.10,2026-08-10 05:23:00,0.3182,LOW,0.0,[],0.823,0.753,flow_count (z=8.0),none,0.99,none
10.0.0.28,2026-08-10 03:06:00,0.3132,LOW,0.0,[],0.139,0.159,avg_packet_size (z=-0.8),c2_beacon,0.845,c2_beacon
10.0.0.28,2026-08-10 02:51:00,0.3124,LOW,0.0,[],0.133,0.221,total_bytes_sent (z=-2.2),c2_beacon,0.805,c2_beacon
10.0.0.11,2026-08-10 02:39:00,0.3073,LOW,0.0,[],0.774,0.563,flow_count (z=8.0),none,0.867,none
10.0.0.28,2026-08-10 02:58:00,0.3071,LOW,0.0,[],0.132,0.175,avg_packet_size (z=-1.1),c2_beacon,0.819,c2_beacon
10.0.0.38,2026-08-10 01:56:00,0.3002,LOW,0.0,[],0.735,0.586,flow_count (z=8.0),none,0.88,none
10.0.0.10,2026-08-10 02:21:00,0.2941,LOW,0.0,[],0.833,0.628,flow_count (z=8.0),none,0.993,none
10.0.0.7,2026-08-10 03:48:00,0.2936,LOW,0.0,[],0.67,0.589,flow_count (z=8.0),none,0.86,none
10.0.0.9,2026-08-10 02:27:00,0.2903,LOW,0.0,[],0.822,0.629,flow_count (z=8.0),none,1.0,none
10.0.0.32,2026-08-10 02:32:00,0.29,LOW,0.0,[],0.825,0.61,flow_count (z=8.0),none,0.99,none
10.0.0.7,2026-08-10 05:28:00,0.2877,LOW,0.0,[],0.823,0.615,interval_cv (z=-8.0),none,1.0,none
10.0.0.9,2026-08-10 04:07:00,0.2868,LOW,0.0,[],0.738,0.566,flow_count (z=8.0),none,0.913,none
10.0.0.28,2026-08-10 03:19:00,0.2847,LOW,0.0,[],0.281,0.267,avg_packet_size (z=4.1),c2_beacon,0.584,c2_beacon
10.0.0.31,2026-08-10 03:01:00,0.284,LOW,0.0,[],0.803,0.612,flow_count (z=8.0),none,0.997,none
10.0.0.8,2026-08-10 01:13:00,0.2814,LOW,0.0,[],0.881,0.501,total_bytes_recv (z=8.0),none,0.983,none
10.0.0.39,2026-08-10 01:27:00,0.2802,LOW,0.0,[],0.844,0.557,flow_count (z=7.6),none,1.0,none
10.0.0.17,2026-08-10 05:49:00,0.28,LOW,0.0,[],0.789,0.611,interval_cv (z=-8.0),none,1.0,none
10.0.0.23,2026-08-10 05:46:00,0.2775,LOW,0.0,[],0.772,0.616,interval_cv (z=-8.0),none,1.0,none
10.0.0.28,2026-08-10 03:21:00,0.274,LOW,0.0,[],0.816,0.554,avg_duration (z=8.0),none,1.0,none
10.0.0.21,2026-08-10 05:36:00,0.2726,LOW,0.0,[],0.813,0.54,interval_cv (z=-8.0),none,0.993,none
10.0.0.16,2026-08-10 03:43:00,0.2715,LOW,0.0,[],0.323,0.401,flow_count (z=8.0),none,0.578,none
10.0.0.1,2026-08-10 04:05:00,0.2685,LOW,0.0,[],0.823,0.494,interval_cv (z=-8.0),none,0.983,none
10.0.0.14,2026-08-10 01:01:00,0.2682,LOW,0.0,[],0.826,0.515,total_bytes_recv (z=7.0),none,1.0,none
10.0.0.26,2026-08-10 05:54:00,0.2667,LOW,0.0,[],0.773,0.561,interval_cv (z=-8.0),none,1.0,none
10.0.0.14,2026-08-10 04:30:00,0.2661,LOW,0.0,[],0.745,0.576,flow_count (z=8.0),none,0.993,none
10.0.0.39,2026-08-10 04:52:00,0.2658,LOW,0.0,[],0.699,0.556,flow_count (z=8.0),none,0.95,none
10.0.0.20,2026-08-10 04:37:00,0.2647,LOW,0.0,[],0.816,0.508,interval_cv (z=-8.0),none,1.0,none
10.0.0.9,2026-08-10 05:48:00,0.2633,LOW,0.0,[],0.834,0.482,interval_cv (z=-8.0),none,1.0,none
10.0.0.24,2026-08-10 05:49:00,0.2611,LOW,0.0,[],0.678,0.622,flow_count (z=8.0),none,0.997,none
10.0.0.28,2026-08-10 02:05:00,0.2563,LOW,0.0,[],0.773,0.508,unique_dst_ports (z=8.0),none,1.0,none
10.0.0.28,2026-08-10 02:56:00,0.2557,LOW,0.0,[],0.142,0.188,avg_packet_size (z=-1.2),c2_beacon,0.632,c2_beacon
10.0.0.30,2026-08-10 01:48:00,0.2556,LOW,0.0,[],0.691,0.467,flow_count (z=8.0),none,0.92,none
10.0.0.6,2026-08-10 03:08:00,0.255,LOW,0.0,[],0.464,0.487,flow_count (z=8.0),none,0.784,none
10.0.0.26,2026-08-10 02:58:00,0.2537,LOW,0.0,[],0.713,0.481,flow_count (z=8.0),none,0.95,none
10.0.0.19,2026-08-10 03:29:00,0.2524,LOW,0.0,[],0.819,0.442,interval_cv (z=-8.0),none,1.0,none
10.0.0.2,2026-08-10 04:11:00,0.2489,LOW,0.0,[],0.786,0.434,interval_cv (z=-8.0),none,0.983,none
10.0.0.26,2026-08-10 04:18:00,0.248,LOW,0.0,[],0.761,0.479,interval_cv (z=-8.0),none,1.0,none
10.0.0.25,2026-08-10 04:45:00,0.2448,LOW,0.0,[],0.662,0.497,interval_cv (z=-8.0),none,0.957,none
10.0.0.10,2026-08-10 04:20:00,0.243,LOW,0.0,[],0.309,0.447,flow_count (z=8.0),none,0.694,none
10.0.0.27,2026-08-10 04:59:00,0.24,LOW,0.0,[],0.358,0.462,flow_count (z=8.0),none,0.747,none
10.0.0.6,2026-08-10 01:33:00,0.2397,LOW,0.0,[],0.834,0.36,total_bytes_recv (z=6.0),none,0.997,none
10.0.0.6,2026-08-10 05:17:00,0.2377,LOW,0.0,[],0.782,0.406,interval_cv (z=-8.0),none,1.0,none
10.0.0.12,2026-08-10 02:44:00,0.235,LOW,0.0,[],0.366,0.372,flow_count (z=6.2),none,0.709,none
10.0.0.17,2026-08-10 02:08:00,0.235,LOW,0.0,[],0.762,0.408,interval_cv (z=-6.5),none,0.997,none
10.0.0.38,2026-08-10 04:38:00,0.2343,LOW,0.0,[],0.534,0.638,flow_count (z=8.0),none,1.0,none
10.0.0.6,2026-08-10 00:36:00,0.2338,LOW,0.0,[],0.754,0.225,avg_packet_size (z=-3.1),none,0.874,none
10.0.0.35,2026-08-10 04:46:00,0.2335,LOW,0.0,[],0.376,0.445,flow_count (z=8.0),none,0.769,none
10.0.0.36,2026-08-10 04:51:00,0.2326,LOW,0.0,[],0.657,0.383,interval_cv (z=-8.0),none,0.918,none
10.0.0.36,2026-08-10 05:15:00,0.2319,LOW,0.0,[],0.724,0.37,unique_dst_ports (z=6.0),none,0.957,none
10.0.0.21,2026-08-10 01:49:00,0.2294,LOW,0.0,[],0.603,0.544,flow_count (z=6.7),none,1.0,none
10.0.0.18,2026-08-10 04:30:00,0.2286,LOW,0.0,[],0.763,0.37,interval_cv (z=-8.0),none,0.993,none
10.0.0.37,2026-08-10 03:13:00,0.2256,LOW,0.0,[],0.359,0.175,avg_packet_size (z=-0.8),none,0.604,c2_beacon
10.0.0.2,2026-08-10 04:06:00,0.2214,LOW,0.0,[],0.507,0.6,total_bytes_recv (z=8.0),none,1.0,none
10.0.0.23,2026-08-10 03:59:00,0.2208,LOW,0.0,[],0.546,0.558,flow_count (z=8.0),none,1.0,none
10.0.0.13,2026-08-10 04:24:00,0.2197,LOW,0.0,[],0.422,0.474,flow_count (z=8.0),none,0.865,none
10.0.0.31,2026-08-10 00:50:00,0.2196,LOW,0.0,[],0.81,0.289,total_bytes_sent (z=3.8),none,1.0,none
10.0.0.25,2026-08-10 00:38:00,0.2176,LOW,0.0,[],0.75,0.337,total_bytes_sent (z=4.3),none,1.0,none
10.0.0.2,2026-08-10 04:35:00,0.216,LOW,0.0,[],0.77,0.31,interval_cv (z=-3.7),none,1.0,none
10.0.0.2,2026-08-10 01:31:00,0.2122,LOW,0.0,[],0.401,0.304,flow_count (z=4.6),none,0.763,none
10.0.0.34,2026-08-10 04:02:00,0.212,LOW,0.0,[],0.486,0.574,flow_count (z=8.0),none,1.0,none
10.0.0.24,2026-08-10 00:55:00,0.2092,LOW,0.0,[],0.706,0.315,total_bytes_sent (z=3.8),none,0.983,none
10.0.0.35,2026-08-10 05:45:00,0.2088,LOW,0.0,[],0.562,0.482,avg_duration (z=5.5),none,1.0,none
10.0.0.25,2026-08-10 03:30:00,0.2076,LOW,0.0,[],0.442,0.435,flow_count (z=8.0),none,0.892,none
10.0.0.40,2026-08-10 02:32:00,0.2067,LOW,0.0,[],0.494,0.539,flow_count (z=8.0),none,1.0,none
10.0.0.18,2026-08-10 05:20:00,0.2062,LOW,0.0,[],0.55,0.274,failed_ratio (z=8.0),none,0.862,none
10.0.0.17,2026-08-10 05:11:00,0.2056,LOW,0.0,[],0.32,0.305,port_entropy (z=4.0),none,0.731,none
10.0.0.40,2026-08-10 04:23:00,0.203,LOW,0.0,[],0.347,0.436,flow_count (z=8.0),none,0.845,none
10.0.0.29,2026-08-10 04:05:00,0.2026,LOW,0.0,[],0.438,0.57,total_bytes_sent (z=7.3),none,0.997,none
10.0.0.4,2026-08-10 04:00:00,0.2024,LOW,0.0,[],0.569,0.386,failed_ratio (z=8.0),none,0.962,none
10.0.0.11,2026-08-10 05:47:00,0.1992,LOW,0.0,[],0.395,0.601,flow_count (z=8.0),none,1.0,none
10.0.0.2,2026-08-10 03:47:00,0.1961,LOW,0.0,[],0.43,0.418,flow_count (z=8.0),none,0.912,none
10.0.0.29,2026-08-10 05:43:00,0.1947,LOW,0.0,[],0.523,0.45,failed_ratio (z=8.0),none,1.0,none
10.0.0.26,2026-08-10 05:33:00,0.194,LOW,0.0,[],0.532,0.438,port_entropy (z=4.5),none,1.0,none
10.0.0.7,2026-08-10 02:51:00,0.1939,LOW,0.0,[],0.344,0.43,flow_count (z=8.0),none,0.87,none
10.0.0.38,2026-08-10 03:35:00,0.1938,LOW,0.0,[],0.365,0.363,port_entropy (z=7.6),none,0.84,none
10.0.0.6,2026-08-10 05:57:00,0.1935,LOW,0.0,[],0.393,0.234,port_entropy (z=2.2),none,0.773,none
10.0.0.18,2026-08-10 04:28:00,0.1931,LOW,0.0,[],0.488,0.478,flow_count (z=6.0),none,1.0,none
10.0.0.33,2026-08-10 00:28:00,0.1929,LOW,0.0,[],0.305,0.191,total_bytes_recv (z=-1.9),none,0.688,none
10.0.0.6,2026-08-10 00:09:00,0.1913,LOW,0.0,[],0.815,0.142,flow_count (z=0.0),none,1.0,none
10.0.0.3,2026-08-10 04:33:00,0.1913,LOW,0.0,[],0.367,0.589,flow_count (z=8.0),none,1.0,none
10.0.0.38,2026-08-10 01:32:00,0.1896,LOW,0.0,[],0.408,0.328,flow_count (z=4.8),none,0.858,none
10.0.0.21,2026-08-10 03:10:00,0.1883,LOW,0.0,[],0.4,0.542,unique_dst_ports (z=8.0),none,1.0,none
10.0.0.6,2026-08-10 00:32:00,0.1882,LOW,0.0,[],0.713,0.218,flow_count (z=2.0),none,0.993,none
10.0.0.13,2026-08-10 02:25:00,0.1875,LOW,0.0,[],0.536,0.397,failed_ratio (z=8.0),none,0.997,none
10.0.0.4,2026-08-10 05:12:00,0.1872,LOW,0.0,[],0.301,0.206,port_entropy (z=1.6),none,0.714,none
10.0.0.22,2026-08-10 04:26:00,0.1872,LOW,0.0,[],0.402,0.332,unique_dst_ports (z=4.5),none,0.865,none
10.0.0.34,2026-08-10 04:11:00,0.1869,LOW,0.0,[],0.361,0.293,port_entropy (z=4.1),none,0.813,none
10.0.0.31,2026-08-10 05:01:00,0.1867,LOW,0.0,[],0.584,0.228,flow_count (z=2.8),none,0.919,none
10.0.0.30,2026-08-10 04:44:00,0.1866,LOW,0.0,[],0.343,0.344,port_entropy (z=5.9),none,0.836,none
10.0.0.28,2026-08-10 03:49:00,0.1865,LOW,0.0,[],0.633,0.3,avg_duration (z=5.0),none,1.0,none
10.0.0.16,2026-08-10 05:12:00,0.1864,LOW,0.0,[],0.337,0.591,flow_count (z=8.0),none,0.997,none
10.0.0.12,2026-08-10 01:48:00,0.1857,LOW,0.0,[],0.398,0.53,flow_count (z=8.0),none,1.0,none
10.0.0.30,2026-08-10 03:24:00,0.1853,LOW,0.0,[],0.44,0.487,flow_count (z=8.0),none,1.0,none
10.0.0.34,2026-08-10 05:31:00,0.1852,LOW,0.0,[],0.348,0.578,flow_count (z=8.0),none,1.0,none
10.0.0.37,2026-08-10 02:37:00,0.1851,LOW,0.0,[],0.581,0.344,total_bytes_recv (z=6.7),none,1.0,none
10.0.0.6,2026-08-10 03:37:00,0.1843,LOW,0.0,[],0.365,0.212,port_entropy (z=1.8),none,0.77,none
10.0.0.36,2026-08-10 03:22:00,0.1836,LOW,0.0,[],0.395,0.44,flow_count (z=8.0),none,0.945,none
10.0.0.36,2026-08-10 03:25:00,0.1834,LOW,0.0,[],0.486,0.431,total_bytes_sent (z=8.0),none,1.0,none
10.0.0.27,2026-08-10 04:01:00,0.1831,LOW,0.0,[],0.431,0.476,flow_count (z=8.0),none,0.994,none
10.0.0.31,2026-08-10 00:17:00,0.1823,LOW,0.0,[],0.77,0.142,flow_count (z=0.0),none,1.0,none
10.0.0.27,2026-08-10 01:46:00,0.1821,LOW,0.0,[],0.484,0.329,flow_count (z=6.0),none,0.935,none
10.0.0.24,2026-08-10 03:30:00,0.1819,LOW,0.0,[],0.444,0.327,port_entropy (z=6.8),none,0.908,none
10.0.0.3,2026-08-10 05:55:00,0.1812,LOW,0.0,[],0.552,0.354,total_bytes_recv (z=6.3),none,1.0,none
10.0.0.5,2026-08-10 05:36:00,0.1809,LOW,0.0,[],0.535,0.301,failed_ratio (z=3.7),none,0.954,none
10.0.0.5,2026-08-10 03:42:00,0.1792,LOW,0.0,[],0.296,0.43,flow_count (z=8.0),none,0.886,none
10.0.0.19,2026-08-10 03:20:00,0.1788,LOW,0.0,[],0.319,0.309,unique_dst_ips (z=5.3),none,0.823,none
